pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TOI-1347 b,TOI-1347,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.84742346,,1.800,0.161,11.10000,0.03492,Mass,0.000000,,1400,0,,5464.00,0.83,0.91,0.040,[Fe/H],4.64,18h41m18.40s,280.3266806,+70d17m24.19s,70.2900536,147.4760000,11.1680000,9.6160000,11.2087000,2024-03-04,2024-02,2024-03-04
TOI-1347 c,TOI-1347,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.84196200,,1.600,0.143,6.40000,0.02014,Mass,0.000000,,1000,0,,5464.00,0.83,0.91,0.040,[Fe/H],4.64,18h41m18.40s,280.3266806,+70d17m24.19s,70.2900536,147.4760000,11.1680000,9.6160000,11.2087000,2024-03-04,2024-02,2024-03-04
TOI-1386 b,TOI-1386,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,25.83839000,0.173200,6.053,0.540,47.03860,0.14800,Mass,0.061000,34.68,676,0,G5V,5793.00,1.01,1.04,0.164,[Fe/H],4.44,22h18m00.98s,334.5041029,+54d19m08.56s,54.3190454,146.8580000,10.6100000,9.0860000,10.5069000,2024-02-16,2024-02,2024-02-16
TOI-139 b,TOI-139,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,11.07085000,,2.457,0.219,,,,,,561,0,,4570.00,0.70,0.69,-0.238,[m/H],4.71,22h25m36.58s,336.4024144,-34d54m34.97s,-34.9097131,42.4061000,10.5500000,7.6400000,10.0772000,2023-05-26,2023-01,2023-05-26
TOI-1408 b,TOI-1408,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.42471100,0.058040,16.813,1.500,537.13001,1.69000,Mass,0.259000,,,0,,6306.00,1.27,1.33,7.790,[Fe/H],4.35,20h54m02.65s,313.5110469,+72d34m50.32s,72.5806455,139.4840000,9.2700010,8.0780000,9.1879500,2023-10-09,2023-11,2023-10-09
TOI-1411 b,TOI-1411,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,1.45203580,0.023000,1.360,0.121,,,,,,1136,0,,4266.00,0.66,0.59,,,4.73,15h31m47.05s,232.9460470,+47d03m19.98s,47.0555507,32.4778000,10.5100000,7.2500000,9.8772300,2022-02-15,2022-02,2022-02-15
TOI-1416 b,TOI-1416,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,1.06975680,0.019000,1.620,0.145,3.48000,0.01095,Mass,0.000000,883.00,1517,0,G9 V,4884.00,0.79,0.80,0.080,[Fe/H],4.52,14h27m41.64s,216.9234892,+41d57m10.75s,41.9529862,55.0135000,9.9100000,7.7080000,9.6525400,2023-06-12,2023-05,2023-06-12
TOI-1420 b,TOI-1420,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,6.95610630,0.071000,11.890,1.061,25.10000,0.07897,Mass,0.170000,139.00,957,0,,5510.00,0.92,0.99,0.280,[Fe/H],4.50,21h31m46.03s,322.9418092,+66d20m56.42s,66.3490054,201.9180000,11.6550000,10.1190000,11.7380000,2023-11-06,2023-11,2023-11-06
TOI-1422 b,TOI-1422,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,12.99720000,0.108000,3.960,0.353,9.00000,0.02832,Mass,0.040000,,867,0,G2 V,5840.00,1.02,0.98,-0.090,[Fe/H],4.41,23h36m57.80s,354.2408290,+39d38m21.41s,39.6392793,155.1410000,10.6220000,9.1900000,10.5521000,2022-07-18,2022-07,2022-07-18
TOI-1431 b,TOI-1431,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.65023700,0.046000,16.701,1.490,991.62463,3.12000,Mass,0.002200,5300.00,2370,0,Am C,7690.00,1.92,1.90,0.090,[Fe/H],4.15,21h04m48.89s,316.2036922,+55d35m16.88s,55.5880221,148.9250000,8.0300000,7.4390000,7.9756100,2021-10-11,2021-12,2021-10-11
TOI-1442 b,TOI-1442,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.40906770,0.007100,1.170,0.104,,,,,,1072,0,,3330.00,0.31,0.29,,,4.92,19h09m10.10s,287.2921006,+74d10m27.39s,74.1742762,41.1659000,15.3900000,10.0890000,13.7652000,2022-02-15,2022-02,2022-02-15
TOI-1444 b,TOI-1444,1,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.47026940,,1.397,0.125,3.87000,0.01218,Mass,0.000000,,,0,,5430.00,0.91,0.93,0.130,[Fe/H],4.49,20h21m53.98s,305.4749252,+70d56m37.34s,70.9437054,125.4630000,10.9360000,9.0610000,10.6417000,2021-05-28,2021-08,2021-05-28
TOI-1452 b,TOI-1452,1,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,11.06201000,0.061000,1.672,0.149,4.82000,0.01517,Mass,0.000000,1.80,326,0,M4 &#177 0.5 V,3185.00,0.28,0.25,-0.070,[M/H],4.95,19h20m41.75s,290.1739741,+73d11m42.39s,73.1951082,30.5212000,14.3540000,9.7400000,13.6233000,2022-08-30,2022-09,2022-08-30
TOI-1467 b,TOI-1467,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,5.97114300,0.051000,1.833,0.164,,,,,16.27,559,0,,3810.00,0.47,0.50,-0.100,[Fe/H],4.79,01h16m27.51s,19.1146441,+49d13m59.30s,49.2331382,37.4418000,12.2930000,8.5680000,11.5622000,2024-04-15,2023-11,2024-04-15
TOI-1468 b,TOI-1468,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,1.88051360,,1.280,0.114,3.21000,0.01010,Mass,,36.00,682,0,M3.0 V,3496.00,0.34,0.34,-0.040,[Fe/H],5.00,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.7399000,12.5000000,8.4970000,12.1172000,2022-11-07,2022-10,2022-11-07
TOI-1468 c,TOI-1468,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,15.53248200,,2.064,0.184,6.64000,0.02089,Mass,,2.15,338,0,M3.0 V,3496.00,0.34,0.34,-0.040,[Fe/H],5.00,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.7399000,12.5000000,8.4970000,12.1172000,2022-11-07,2022-10,2022-11-07
TOI-1470 b,TOI-1470,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.52709300,0.028500,2.180,0.194,7.32000,0.02303,Mass,0.300000,46.30,734,0,M1.5 V,3709.00,0.47,0.47,0.000,[Fe/H],4.77,00h40m21.39s,10.0891431,+61d12m48.19s,61.2133868,51.9503000,13.4590000,9.2830000,12.5555000,2023-08-07,2023-07,2023-08-07
TOI-1470 c,TOI-1470,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,18.08816000,0.106000,2.470,0.220,7.24000,0.02278,Mass,0.500000,3.35,373,0,M1.5 V,3709.00,0.47,0.47,0.000,[Fe/H],4.77,00h40m21.39s,10.0891431,+61d12m48.19s,61.2133868,51.9503000,13.4590000,9.2830000,12.5555000,2023-08-07,2023-07,2023-08-07
TOI-1478 b,TOI-1478,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,10.18024900,0.090300,11.882,1.060,270.47333,0.85100,Mass,0.024000,,918,0,,5597.00,1.05,0.95,0.078,[Fe/H],4.37,08h25m44.10s,126.4337428,-13d33m34.37s,-13.5595485,152.8920000,10.7230000,9.2010000,10.6624000,2021-02-25,2021-04,2021-03-04
TOI-150.01,TOI-150,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,5.85748700,0.070370,14.067,1.255,797.75330,2.51000,Mass,0.262000,,1404,0,F,6255.00,1.53,1.35,0.280,[Fe/H],4.13,07h31m51.70s,112.9654210,-73d36m21.73s,-73.6060358,336.2670000,11.3900000,9.9400000,11.3408000,2019-11-01,2019-11,2019-11-07
TOI-1516 b,TOI-1516,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.05601400,,15.244,1.360,1004.33777,3.16000,Mass,,,,0,F8 V,6520.00,1.14,1.14,-0.050,[Fe/H],4.25,22h40m20.31s,340.0846204,+69d30m13.43s,69.5037313,247.0540000,10.8580000,9.6690000,10.7156000,2022-05-23,2022-05,2022-05-23
TOI-157 b,TOI-157,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.08454350,0.031380,14.415,1.286,375.03940,1.18000,Mass,0.000000,1062.00,1588,0,G9 IV,5404.00,1.17,0.95,0.240,[Fe/H],4.28,04h54m48.35s,73.7014398,-76d40m50.18s,-76.6806061,355.6830000,12.7250000,10.8920000,12.5143000,2020-07-17,2020-07,2020-07-23
TOI-1601 b,TOI-1601,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,5.33175100,0.068640,13.888,1.239,314.65170,0.99000,Mass,0.036000,,1619,0,,5948.00,2.19,1.52,0.329,[Fe/H],3.94,02h33m26.78s,38.3615690,+41d00m48.36s,41.0134321,336.6080000,10.6600000,9.1910000,10.5276000,2021-02-25,2021-04,2021-03-04
TOI-163 b,TOI-163,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.23130600,0.058000,16.690,1.489,387.75260,1.22000,Mass,0.000000,,1669,0,F,6495.00,1.65,1.44,0.220,[Fe/H],4.19,05h19m04.38s,79.7682532,-71d53m43.90s,-71.8955269,411.7190000,11.4670000,10.1240000,11.2193000,2019-11-01,2019-11,2019-11-07
TOI-1634 b,TOI-1634,1,2,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.98934550,,1.773,0.158,7.57000,0.02382,Mass,0.000000,,,0,,3472.00,0.45,0.45,0.190,[Fe/H],4.79,03h45m33.75s,56.3906096,+37d06m44.21s,37.1122803,35.2736000,13.2170000,8.6000000,12.1965000,2023-07-10,2022-09,2023-07-10
TOI-1670 b,TOI-1670,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,10.98462000,0.103000,2.060,0.184,41.31769,0.13000,Mass,0.590000,,1062,0,F7 V,6170.00,1.32,1.21,0.090,[Fe/H],4.29,17h16m04.14s,259.0172522,+72d09m40.25s,72.1611806,168.0670000,9.8890000,8.7240000,9.8193400,2022-03-16,2022-03,2022-03-16
TOI-1670 c,TOI-1670,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,40.74976000,0.249000,11.063,0.987,200.23190,0.63000,Mass,0.090000,,684,0,F7 V,6170.00,1.32,1.21,0.090,[Fe/H],4.29,17h16m04.14s,259.0172522,+72d09m40.25s,72.1611806,168.0670000,9.8890000,8.7240000,9.8193400,2022-03-16,2022-03,2022-03-16
TOI-1680 b,TOI-1680,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.80263450,0.031440,1.466,0.131,,,,,4.41,404,0,M4.5+/-0.5,3225.00,0.21,0.18,0.040,[Fe/H],5.05,19h29m15.35s,292.3139790,+65d58m25.69s,65.9738018,37.2209000,15.8700000,10.8210000,14.6457000,2023-07-21,2023-07,2023-07-21
TOI-1685 b,TOI-1685,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.66914060,,1.700,0.152,3.09000,0.00972,Mass,0.000000,,1069,0,M3.0 V,3434.00,0.49,0.49,-0.130,[Fe/H],4.85,04h34m22.55s,68.5939529,+43d02m13.34s,43.0370395,37.6153000,13.3780000,8.7580000,12.2956000,2023-07-11,2022-09,2023-07-11
TOI-169 b,TOI-169,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.25544770,0.035240,12.173,1.086,251.40353,0.79100,Mass,0.000000,1443.00,1715,0,G1 V,5880.00,1.29,1.15,0.240,[Fe/H],4.28,01h07m06.89s,16.7786879,-75d11m56.20s,-75.1989452,407.8400000,12.3550000,10.8150000,12.2379000,2020-07-17,2020-07,2020-07-23
TOI-1693 b,TOI-1693,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,1.76669570,0.022600,1.410,0.126,,,,,,764,0,,3499.00,0.46,0.49,,,4.80,06h01m14.00s,90.3083455,+34d46m23.13s,34.7730904,30.7947000,12.9620000,8.3310000,11.8373000,2022-02-15,2022-02,2022-02-15
TOI-1694 b,TOI-1694,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.77015000,,5.440,0.485,26.10000,0.08212,Mass,0.000000,,,0,,5066.40,,0.84,0.120,[Fe/H],4.53,06h30m59.69s,97.7487104,+66d21m38.14s,66.3605956,124.6800000,11.4460000,9.4250000,11.3103000,2023-02-07,2023-02,2023-02-07
TOI-1695 b,TOI-1695,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.13427910,0.033548,1.900,0.170,6.36000,0.02001,Mass,0.097000,39.00,698,0,M1 V,3690.00,0.52,0.51,0.000,[Fe/H],4.72,01h27m41.22s,21.9217346,+72d17m47.81s,72.2966148,45.1309000,12.9890000,8.8180000,12.1364000,2023-02-25,2022-11,2023-02-25
TOI-1696 b,TOI-1696,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.50031100,0.022900,3.090,0.276,48.80000,0.15354,Mass,,,489,0,M5V,3185.00,0.28,0.26,0.336,[Fe/H],4.96,04h21m07.36s,65.2806480,+48d49m11.39s,48.8198312,64.9172000,16.8200000,11.3310000,15.3314000,2022-06-27,2022-06,2022-06-27
TOI-1710 b,TOI-1710,1,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,24.28338200,0.164000,5.150,0.460,18.40000,0.05800,Mass,0.185000,33.00,730,0,G5 V,5730.00,0.95,0.99,0.120,[Fe/H],4.54,06h17m08.12s,94.2838373,+76d12m39.67s,76.2110200,81.2271000,9.5450000,7.9590000,9.3598300,2024-03-25,2024-01,2024-03-25
TOI-172 b,TOI-172,1,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,9.47725000,0.091400,10.817,0.965,1722.63860,5.42000,Mass,0.380600,299.00,1198,0,,5645.00,1.78,1.13,0.148,[Fe/H],3.99,21h06m31.65s,316.6318791,-26d41m34.32s,-26.6928654,342.8310000,11.2990000,9.7220000,11.1927000,2019-03-29,2019-05,2019-03-28
TOI-1728 b,TOI-1728,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.49151000,0.039100,5.050,0.451,26.78000,0.08426,Mass,0.057000,57.78,767,0,M0,3980.00,0.62,0.65,0.250,[Fe/H],4.66,08h02m26.80s,120.6116787,+64d47m49.75s,64.7971531,60.7980000,12.3900000,8.8030010,11.7294000,2020-07-02,2020-08,2020-07-09
TOI-1736 b,TOI-1736,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,7.07308800,0.074000,2.440,0.223,12.80000,0.04000,Mass,0.210000,,1076,0,,5807.00,1.15,1.08,0.138,[Fe/H],4.35,02h53m44.27s,43.4344615,+69d06m04.84s,69.1013450,88.9482000,8.9530000,7.2830000,8.7796900,2023-11-28,2023-11,2023-11-28
TOI-1739 b,TOI-1739,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,8.30334200,0.074200,1.695,0.151,,,,,54.35,756,0,,4922.00,0.75,0.79,0.070,[Fe/H],4.58,16h00m41.40s,240.1724810,+83d15m31.17s,83.2586589,70.9819000,10.6920000,8.3880000,10.4185000,2024-04-15,2023-11,2024-04-15
TOI-1749 b,TOI-1749,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.38839000,0.029100,1.390,0.124,57.00000,0.17934,Mass,0.140000,,831,0,M0 V,3985.00,0.55,0.58,-0.260,[Fe/H],4.70,18h50m56.93s,282.7372281,+64d25m10.08s,64.4194660,99.5561000,13.8600000,10.2700000,13.1798000,2021-07-26,2021-10,2021-07-26
TOI-1749 c,TOI-1749,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.49290000,0.044300,2.120,0.189,14.00000,0.04405,Mass,0.019000,,673,0,M0 V,3985.00,0.55,0.58,-0.260,[Fe/H],4.70,18h50m56.93s,282.7372281,+64d25m10.08s,64.4194660,99.5561000,13.8600000,10.2700000,13.1798000,2021-07-26,2021-10,2021-07-26
TOI-1749 d,TOI-1749,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,9.04970000,0.070700,2.520,0.225,15.00000,0.04720,Mass,0.062000,,533,0,M0 V,3985.00,0.55,0.58,-0.260,[Fe/H],4.70,18h50m56.93s,282.7372281,+64d25m10.08s,64.4194660,99.5561000,13.8600000,10.2700000,13.1798000,2021-07-26,2021-10,2021-07-26
TOI-1751 b,TOI-1751,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,37.46849000,0.211600,2.770,0.247,14.50000,0.04562,Mass,0.000000,,,0,,5996.00,1.20,0.90,-0.400,[Fe/H],4.24,16h13m57.32s,243.4888534,+63d32m00.71s,63.5335297,113.3350000,9.3270000,7.9340000,9.1894100,2024-02-16,2024-02,2024-02-16
TOI-1759 b,TOI-1759,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,18.85019000,0.117700,3.140,0.280,10.80000,0.03398,Mass,0.000000,6.39,443,0,M0.0 V,4065.00,0.60,0.61,0.050,[Fe/H],4.65,21h47m24.40s,326.8516615,+62d45m13.74s,62.7538164,40.0654000,11.9300000,7.9300000,10.8385000,2022-03-28,2022-03,2022-03-28
TOI-178 b,TOI-178,1,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,1.91455800,0.026070,1.152,0.103,1.50000,0.00472,Mass,,,1040,0,K,4316.00,0.65,0.65,-0.230,[Fe/H],4.45,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000,8.6560000,11.1523000,2021-03-12,2021-05,2021-03-18
TOI-178 c,TOI-178,1,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.23845000,0.037000,1.669,0.149,4.77000,0.01501,Mass,,,873,0,K,4316.00,0.65,0.65,-0.230,[Fe/H],4.45,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000,8.6560000,11.1523000,2021-03-12,2021-05,2021-03-18
TOI-178 d,TOI-178,1,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,6.55770000,0.059200,2.572,0.229,3.01000,0.00947,Mass,,,690,0,K,4316.00,0.65,0.65,-0.230,[Fe/H],4.45,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000,8.6560000,11.1523000,2021-03-12,2021-05,2021-03-18
TOI-178 e,TOI-178,1,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,9.96188100,0.078300,2.207,0.197,3.86000,0.01214,Mass,,,600,0,K,4316.00,0.65,0.65,-0.230,[Fe/H],4.45,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000,8.6560000,11.1523000,2021-03-12,2021-05,2021-03-18
TOI-178 g,TOI-178,1,1,6,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,20.70950000,0.127500,2.870,0.256,3.94000,0.01240,Mass,,,470,0,K,4316.00,0.65,0.65,-0.230,[Fe/H],4.45,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.6990000,11.9550000,8.6560000,11.1523000,2021-03-12,2021-05,2021-03-18
TOI-1789 b,TOI-1789,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.20866400,0.048820,16.141,1.440,222.47988,0.70000,Mass,,2300.00,1927,0,F,5991.00,2.17,1.51,0.373,[Fe/H],3.94,09h30m58.42s,142.7434060,+26d32m23.98s,26.5399951,229.0670000,9.7210000,8.3450000,9.5843900,2021-10-19,2022-01,2021-10-19
TOI-1801 b,TOI-1801,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,10.64387000,,2.079,0.186,5.73800,0.01805,Mass,0.000000,,494,0,M0.5+/-0.5 V,3863.00,0.55,0.56,-0.190,[Fe/H],4.78,11h42m18.14s,175.5755995,+23d01m37.32s,23.0270335,30.6796000,11.5800000,7.8050000,10.8269000,2023-10-21,2023-10,2023-10-21
TOI-1807 b,TOI-1807,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.54937200,0.008120,1.258,0.112,,,,,,2100,0,,4757.00,0.68,0.75,-0.029,[Fe/H],4.65,13h25m07.83s,201.2826259,+38d55m20.52s,38.9223671,42.5775000,10.0000000,7.5680000,9.6751700,2022-04-12,2021-08,2022-04-12
TOI-181 b,TOI-181,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.53200000,0.053900,6.956,0.634,46.16870,0.14520,Mass,0.154300,102.43,895,0,K,4994.00,0.74,0.82,0.272,[m/H],4.61,23h28m41.41s,352.1725409,-34d29m29.08s,-34.4914099,96.2338000,11.1910000,9.0470000,11.0857000,2023-03-15,2023-05,2023-03-15
TOI-1811 b,TOI-1811,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.71307650,0.043890,11.142,0.994,308.92921,0.97200,Mass,0.052000,,962,0,,4766.00,0.77,0.82,0.306,[Fe/H],4.58,12h35m41.37s,188.9223576,+27d12m51.76s,27.2143766,128.2300000,11.9660000,9.6430000,11.7574000,2023-03-15,2023-02,2023-03-15
TOI-1820 b,TOI-1820,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.86067400,0.061000,12.778,1.140,731.00534,2.30000,Mass,0.043000,,1375,0,,5734.00,1.51,1.04,0.140,[Fe/H],4.24,12h30m44.81s,187.6867207,+27d27m07.21s,27.4520016,248.5040000,10.8990000,9.5080000,10.9653000,2022-09-19,2022-04,2022-09-19
TOI-1842 b,TOI-1842,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,9.57390000,0.100100,11.657,1.040,68.01528,0.21400,Mass,,,,0,,6230.00,2.02,1.46,0.220,[M/H],4.10,13h27m51.04s,201.9626552,+09d01m50.32s,9.0306437,223.4650000,9.8150000,8.4460000,9.6598100,2021-12-13,2022-02,2021-12-13
TOI-1853 b,TOI-1853,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,1.24362580,0.021300,3.460,0.309,73.20000,0.23031,Mass,0.030000,,1479,0,K2.5 V,4985.00,0.81,0.84,0.110,[Fe/H],4.49,14h05m50.24s,211.4593468,+16d59m32.53s,16.9923703,165.1050000,12.1780000,10.0550000,11.9474000,2023-09-19,2023-09,2023-09-19
TOI-1859 b,TOI-1859,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,63.48347000,0.337000,9.752,0.870,,,,0.570000,,,0,,6341.00,1.36,1.29,0.120,[M/H],4.29,18h39m19.62s,279.8317644,+69d31m22.34s,69.5228726,224.3850000,10.3300000,9.2430000,10.2843000,2023-06-12,2023-05,2023-06-12
TOI-1860 b,TOI-1860,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,1.06621070,0.020400,1.310,0.117,,,,,,1885,0,G V,5752.00,0.94,0.99,0.040,[Fe/H],4.58,15h05m49.62s,226.4567308,+64d02m51.66s,64.0476821,45.8640000,8.4000000,6.7920000,8.2322300,2022-02-15,2022-02,2022-02-15
TOI-1899 b,TOI-1899,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,29.09031200,0.152500,11.097,0.990,212.94503,0.67000,Mass,0.044000,3.40,378,0,,3926.00,0.61,0.63,0.280,[Fe/H],4.67,19h57m42.44s,299.4268472,+40d08m36.05s,40.1433462,128.4380000,14.8800000,10.5090000,13.5553000,2024-04-15,2023-09,2024-04-15
TOI-1937 A b,TOI-1937 A,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.94667944,0.019320,13.978,1.247,638.83510,2.01000,Mass,0.000000,3230.00,2097,0,,5814.00,1.08,1.07,0.196,[Fe/H],4.40,07h45m28.97s,116.3707214,-52d22m59.73s,-52.3832587,415.1350000,13.1800000,11.2260000,13.0168000,2023-02-27,2023-03,2023-02-27
TOI-198 b,TOI-198,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,10.21520000,0.100000,1.440,0.128,,,,,,368,0,M0 V,3650.00,0.44,0.47,-0.700,[Fe/H],4.75,00h09m05.16s,2.2715087,-27d07m18.28s,-27.1217452,23.7262000,11.6880000,7.8560000,10.9187000,2023-08-22,2023-03,2023-08-22
TOI-199 b,TOI-199,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,104.85400000,0.425400,9.079,0.810,54.03083,0.17000,Mass,0.090000,,,1,G9 V,5255.00,0.82,0.94,0.220,[Fe/H],4.58,05h20m25.41s,80.1058735,-59d53m43.56s,-59.8954326,102.2700000,10.7010000,8.8140000,10.5784000,2023-10-09,2023-09,2023-10-09
TOI-1994 b,TOI-1994,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.03371420,0.061300,13.675,1.220,7024.00779,22.10000,Mass,0.341000,,2290,0,,7700.00,2.30,1.86,-0.010,[Fe/H],3.98,09h48m41.90s,147.1745753,-51d45m23.63s,-51.7565640,515.6030000,10.5140000,9.7750000,10.4280000,2024-03-10,2024-03,2024-03-10
TOI-2000 b,TOI-2000,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.09833000,0.042710,2.700,0.241,11.00000,0.03470,Mass,0.000000,628.00,1488,0,,5611.00,1.13,1.08,0.439,[Fe/H],4.36,09h45m35.30s,146.3970631,-66d41m11.87s,-66.6866307,175.7130000,10.9840000,9.3030010,10.8542000,2023-06-27,2023-06,2023-06-27
TOI-2000 c,TOI-2000,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,9.12705500,0.087800,8.140,0.727,81.70000,0.25700,Mass,0.063000,149.00,1038,0,,5611.00,1.13,1.08,0.439,[Fe/H],4.36,09h45m35.30s,146.3970631,-66d41m11.87s,-66.6866307,175.7130000,10.9840000,9.3030010,10.8542000,2023-06-27,2023-06,2023-06-27
