pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TOI-1064 b,TOI-1064,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,6.44386800,0.061520,2.587,0.231,13.50000,0.04248,Mass,0.047000,62.90,784,0,,4734.00,0.73,0.75,0.050,[Fe/H],4.60,19h44m00.94s,296.0039349,-47d33m43.31s,-47.5620305,68.0726000,10.9380000,8.4670000,10.6491000,2022-01-31,2022-01,2022-01-31
TOI-1064 c,TOI-1064,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,12.22657400,0.094290,2.651,0.237,2.50000,0.00787,Mass,0.088000,26.80,634,0,,4734.00,0.73,0.75,0.050,[Fe/H],4.60,19h44m00.94s,296.0039349,-47d33m43.31s,-47.5620305,68.0726000,10.9380000,8.4670000,10.6491000,2022-01-31,2022-01,2022-01-31
TOI-1075 b,TOI-1075,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,0.60473280,0.011590,1.791,0.160,9.95000,0.03131,Mass,0.000000,509.20,1323,0,K9 V/M0 V,3875.00,0.58,0.60,-0.080,[Fe/H],,20h39m53.09s,309.9712091,-65d26m58.92s,-65.4496994,61.4592000,12.6150000,9.1150000,12.0544000,2022-11-07,2022-10,2022-11-07
TOI-1107 b,TOI-1107,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.07823870,0.056100,14.572,1.300,1064.72516,3.35000,Mass,0.025000,532.00,1728,0,F6 V,6311.00,1.81,1.35,-0.100,[Fe/H],4.05,10h22m25.89s,155.6078632,-82d13m07.93s,-82.2188693,281.3140000,10.5530000,9.2050000,10.3745000,2022-06-08,2022-05,2022-06-08
TOI-1130 b,TOI-1130,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.07445000,0.044570,3.560,0.318,19.28000,0.06066,Mass,0.054100,78.10,632,1,K6-K7,4350.00,0.69,0.71,0.300,[Fe/H],4.62,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,11.5950000,8.3510000,10.9028000,2024-02-05,2023-07,2024-02-05
TOI-1130 c,TOI-1130,1,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,8.35023100,0.071910,13.320,1.188,325.69000,1.02474,Mass,0.045700,30.00,498,1,K6-K7,4350.00,0.69,0.71,0.300,[Fe/H],4.62,19h05m30.24s,286.3760037,-41d26m15.50s,-41.4376399,58.2609000,11.5950000,8.3510000,10.9028000,2024-02-05,2023-07,2024-02-05
TOI-1135 b,TOI-1135,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,8.02773000,0.082000,9.020,0.805,51.42000,0.16200,Mass,0.000000,,1199,0,G0,6122.00,1.16,1.12,0.000,[Fe/H],4.56,12h53m35.13s,193.3963704,+85d07m46.18s,85.1294952,114.0480000,9.5400000,8.1920000,9.4135300,2024-03-05,2024-02,2024-03-05
TOI-1136 b,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,4.17270000,0.051060,,,3.50000,0.01101,Mass,0.027000,,1216,1,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2024-04-10,2024-02,2024-04-10
TOI-1136 c,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,6.25740000,0.066900,,,6.32000,0.01988,Mass,0.110000,,1062,1,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2024-04-10,2024-02,2024-04-10
TOI-1136 d,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,12.51990000,0.106200,,,8.35000,0.02627,Mass,0.042000,,843,1,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2024-04-10,2024-02,2024-04-10
TOI-1136 e,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,18.80100000,,,,6.07000,0.01910,Mass,0.042500,,737,1,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2024-04-10,2024-02,2024-04-10
TOI-1136 f,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,26.32100000,0.174000,,,9.70000,0.03052,Mass,0.001000,,658,1,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2024-04-10,2024-02,2024-04-10
TOI-1136 g,TOI-1136,1,1,6,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,39.54500000,0.229000,,,5.60000,0.01762,Mass,0.040000,,574,1,,5770.00,0.97,1.02,0.070,[Fe/H],4.47,12h48m44.38s,192.1848981,+64d51m18.99s,64.8552755,84.5362000,9.5340000,8.0340000,9.3678900,2024-04-10,2024-02,2024-04-10
TOI-1181 b,TOI-1181,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.10319500,,14.572,1.300,375.03752,1.18000,Mass,,,,0,F9 IV,5990.00,1.75,1.19,0.050,[Fe/H],3.90,19h48m51.80s,297.2158166,+64d21m15.66s,64.3543506,302.8190000,10.5820000,9.2200000,10.4776000,2022-05-23,2022-05,2022-05-23
TOI-1194 b,TOI-1194,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,2.31064400,0.034280,8.597,0.767,144.92975,0.45600,Mass,0.076000,,1391,0,,5446.00,0.96,1.01,0.290,[Fe/H],4.47,11h11m17.16s,167.8214811,+69d57m53.19s,69.9647749,149.6670000,11.3020000,9.3400000,10.9887000,2023-11-06,2023-10,2023-11-06
TOI-1199 b,TOI-1199,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,3.67146300,0.049880,10.514,0.938,75.96099,0.23900,Mass,0.030000,,1486,0,,5710.00,1.45,1.23,0.440,[Fe/H],4.19,11h07m31.36s,166.8806581,+61d21m09.26s,61.3525723,248.4270000,11.0930000,9.4660000,10.8853000,2024-03-05,2024-02,2024-03-05
